Seq 1,Seq 2,Author Last Name,Title,Date Published,Seq 3,Seq 4,Brief Description,Seq 5,Empty 1,,Storage,Publication Place,Empty 2,Edition,Seq 7,Seq 8,Binding Size Pagination,Content,Provenance,Notes,Empty 3,Author,Condition,Boolean 1,Boolean 2,Date Acquired,Another Date,Stuff 1,Empty 4,Place,Empty 5,Empty 6,Seq 9
4559,2165,"Culmann, Carl; Ritter, Wilhelm",Polytechnikum Zurich lecture notes,1868,6,30,Civil engineering lecture notes,5,,1,Library,Zurich,,0,177,8,"Half cloth, marbled paper on boards, 19 x 22 cm, 3 volumes, vol 1: 63 numbered leaves, 15 leaves, 47 numbered pgs, 8 unnumbered leaves, 47 numbered pgs, 47 numbered pages, 63 numbered pgs, 5 leaves, 15, 15 numbered pgs, 4 unnumbered leaves; vol 2: lithographed plates; vol 3: lithographed plates",,Kuhn,,,"Culmann, Carl",Very good,Yes,,3/2/2019,5/30/2020,,,,,,0
4560,2166,"Arnolfini, Giovanni Attilio","Memorie sopra il Lago di Sesto, e di Bientina. Raccolte e compilate dallo sp. Le Gio. Attilio Arnolfini",1779,7,113,Lake Sesto (Bientina),9,,1,Library,Lake Sesto,,0,177,11,"Full vellum, 24 x 35 cm, [title, contents verso], 4 leaves, 191 pgs, 1 folding, lithographic plate, 1 folding lithographic map with manuscript notes in red and yellow ink, 32 blank leaves",,Kuhn,,,"Arnolfini, Giovanni Attilio",Very good,Yes,,3/2/2019,5/30/2020,,,On shelf,,,0
4561,2167,"Zanotti, Eustachio","Apologia fisica del progetto del nuovo Ozzeri contro le osservazioni, e riflessioni di alcuni interessati di Gio: Attilio Arnolfini.",1783,7,113,Lake Sesto,9,,1,Library,Lake Sesto,,0,177,11,"Carta rustica, 21 x 30 cm, note tipped in front flyleaf, [title], 2 unnumbered leaves, 213 numbered pgs, 10 blank leaves",,Kuhn,,,"Zanotti, Eustachio",Very good,Yes,,3/2/2019,5/30/2020,,,On shelf,,,0
4562,2168,"Luning, A","Design notes, Auebrucke bei Neustadt",1879,6,116,Auebrucke bei Neustadt,9,,1,Library,Hannover,,0,177,8,"Paper on boards with pasted on title label, 21 x 32.5 cm, 3 volumes, vol 1: [title], 55 numbered pgs, 3 folding plates; vol 2: [title], 25 numbered pgs, 1 plate, blank, [second title], 7 numbered pgs, 2 blanks; vol 3: [title], 53 numbered pgs, 1 plate, 1 blank",,Kuhn,,,"Luning, A",Very good,Yes,,3/2/2019,5/30/2020,,,On shelf,,,0
4564,2169,"Moore, Jonas","The history or narrative of the Great Level of the Fenns, called Bedford Level. With a map of the said Level as drained, surveyed and described by Sir J. Moore",1685,7,124,"Fenns, Bedford Level",11,,1,Library,London,,0,1995,1,"Full leather, [notice to reader][title], 2 pps, folding map, 81 pgs",,Ex libris Rothamsted Experimental Station; Hill,,,"Moore, Jonas",Very good,yes,,3/30/2019,5/30/2020,,,On shelf,,,0
4565,2170,"Vermuyden, Cornelius, Sir","A Discourse touching the drayning the great Fennes, lying within the severall Counties of Lincolne, Northampton, Huntington, Norfolke, Suffolke, Cambridge and the Isle of Ely, as it waspresented to his Majestie",1642,7,124,Fenn drainage,11,,1,Library,London,,0,1996,1,"Full leather, 16 x 20.5 cm, 1 leaf (crest verso), [title], 1 folding map, 32 pgs, 1 leaf",,"Ex libris Rothamsted Experimental Station, Wm Palmer; Hill","Notes recto of first leaf, Collated perfect, wth ye mapp",,"Vermuyden, Cornelius, Sir",Very good,Yes,,3/30/2019,5/30/2020,,,On shelf,,,0
4566,2171,Kingston Seymour Seawall,Kingston Seymour sewer work 1773,1773,7,70,Kingston Seymour seawall,9,,4,Archive,Kingston Seymour,,0,177,1,"Paper wraps with manuscript title, manuscript, black ink on paper, 20 x 32 cm, 6 leaves",,Hill,,,Kingston Seymour Seawall,Very good,yes,,3/30/2019,5/30/2020,,,Box C,,,0
4567,2172,"Montluisant, Charles Laurent Joseph de; Toussaint, Louis; Marseille port","Port de Marseille. Canal de communication, Bassin de stationnement, Bassin de la Joliette. Jetees, murs de quai, pont tournants",1844,6,50,Marseille port,6,,5,Archive,Marseille,,0,177,2,"Half leather, 74 x 56 cm, 57 manuscript drawings in black and coloured ink with colour wash (52 full page, 5 double page folded) and 10 title and content page leaves",,Lan,,,Marseille port,"Good, lose on some sheets",Yes,,3/30/2019,5/30/2020,,,In oversized box,,,0
4568,2173,"Pneumatic railway, New York",Illustrated description of the Broadway pneumatic underground railway with a full description of the atmospheric machinery and the great tunneling machine,1870,6,71,Pneumatic railway,11,,7,Library,New York,,0,1997,1,"Printed wraps, 17 x 24 cm, [title][advertisement], 19 pgs, [advertisement]",,,,,"Pneumatic railway, New York",Good,Yes,,3/30/2019,5/30/2020,,,Pamphlet box 43,,,0
4570,2174,"Agnesi, Maria Gaetana","Traités élémentaires de calcul différentiel et de calcul intégral, traduits de l'italien de Mademoiselle Agnesi, avec des additions",1775,7,121,Calculus,11,,1,Library,Paris,,1st french,950,2,"Full leather, 13 x 20 cm, [title], iv, 500 pgs, 6 folding plates",,Coltham,,Female authour,"Agnesi, Maria Gaetana",Very good,Yes,,3/30/2019,5/30/2020,,,On shelf,,,0
